year,n_entries,n_sents,n_tokens,n_types,n_words,n_words_unique,n_lemma_unique,n_lexeme_unique,n_nostop,n_nnp,n_nnp_unique,Papist,catholic_words,pers_prn,I,me,we,us,them,type-token,ave_sent_len,ave_entry_len,pct_nnp
1678,30,44,1821,559,1606,548,526,340,834,179,91,1,12,48,0,0,0,1,48,0.3480697384806974,36.5,53.53333333333333,0.11145703611457036
1679,317,399,14365,2180,12656,2163,1881,1256,6127,2101,551,0,43,343,1,0,4,4,343,0.1722503160556258,31.719298245614034,39.92429022082019,0.16600821744627053
1680,303,341,13952,2179,12305,2167,1911,1218,6066,2054,611,3,36,350,2,0,2,5,350,0.1770824867939862,36.085043988269796,40.61056105610561,0.16692401462819992
1681,787,985,45556,4351,40265,4329,3672,2445,20700,5994,1203,6,76,1372,9,4,23,21,1372,0.10805910840680492,40.878172588832484,51.16264294790343,0.1488637774742332
1682,512,614,32685,3382,28851,3370,2845,1892,14886,4378,890,5,14,892,0,0,6,9,892,0.11722297320716786,46.9885993485342,56.349609375,0.15174517347752245
1683,363,408,22013,2729,19341,2712,2381,1492,9905,2918,826,3,14,446,3,1,1,3,446,0.14109921927511504,47.404411764705884,53.28099173553719,0.15087120624579908
1684,241,285,13605,2093,11967,2081,1851,1169,6026,1695,565,0,11,302,1,0,0,1,302,0.17489763516336593,41.98947368421052,49.655601659751035,0.14163950864878416
1685,403,464,19855,2639,17217,2626,2313,1384,8395,2809,818,2,20,388,6,1,6,0,388,0.15327873613289192,37.105603448275865,42.72208436724566,0.1631526979148516
1686,277,311,10281,1740,9004,1726,1561,958,4305,1514,477,2,32,203,0,0,1,1,203,0.19324744557974233,28.95176848874598,32.505415162454874,0.16814749000444246
1687,418,455,15252,2257,13383,2246,2019,1153,6421,2471,757,10,33,256,0,0,0,3,256,0.16864679070462527,29.41318681318681,32.016746411483254,0.18463722633191362
1688,829,903,29482,3382,25896,3365,2856,1850,12664,3899,925,7,68,691,5,0,5,1,691,0.1305993203583565,28.677740863787374,31.237635705669483,0.1505637936360828
1689,1242,1369,56731,4893,49988,4879,4111,2513,24469,7628,1516,10,63,1151,10,3,17,13,1151,0.09788349203808915,36.51424397370344,40.247987117552334,0.1525966231895655
1690,1213,1468,67212,5335,59633,5321,4434,2842,29920,7850,1534,5,39,1628,5,2,72,6,1628,0.08946388744487113,40.62193460490463,49.161582852431984,0.1316385222947026
1691,1411,1648,78877,5860,69705,5845,4869,3005,35350,9075,1807,1,20,1929,7,0,83,21,1929,0.08406857470769673,42.296723300970875,49.401133947554925,0.13019152141166343
1692,3491,3952,143600,7681,127017,7664,6231,4011,60314,16838,2270,3,30,2964,13,7,78,19,2964,0.06047222025398175,32.139929149797574,36.384130621598395,0.13256493225316296
1693,2763,2950,106462,6532,93927,6515,5357,3352,43826,12967,1984,2,21,2117,11,1,78,12,2117,0.06954336878639794,31.83966101694915,33.99457111834962,0.13805402067563108
1694,1946,2059,73875,5489,65047,5477,4629,2840,30362,9587,1730,0,11,1440,4,0,49,11,1440,0.08438513690101004,31.591549295774648,33.42600205549846,0.14738573646747735
1695,1599,1705,63915,5233,56358,5221,4341,2699,26364,8781,1595,0,8,1272,7,1,47,3,1272,0.09285283367046382,33.054545454545455,35.24577861163227,0.15580751623549452
1696,1725,1928,70660,5443,62539,5429,4462,2795,29913,8645,1590,0,4,1583,15,2,45,5,1583,0.08703369097683046,32.43724066390042,36.25449275362319,0.13823374214490158
1697,1741,1922,70992,5543,62621,5527,4542,2934,29840,8747,1554,0,24,1430,7,0,41,4,1430,0.08851663180083359,32.58116545265349,35.968408960367604,0.13968157646795804
1698,1528,1649,61217,5357,53742,5341,4419,2590,25010,8669,1709,0,20,1215,9,0,16,2,1215,0.09967995236500317,32.59066100667071,35.17146596858639,0.16130772952253358
1699,1333,1438,57715,5073,50816,5055,4177,2659,24146,7742,1395,0,14,1088,12,2,22,2,1088,0.09983076196473552,35.33796940194715,38.12153038259565,0.1523535894206549
1700,1306,1368,54886,4866,48260,4849,4057,2513,22759,7761,1411,0,17,970,7,1,17,0,970,0.10082884376295069,35.27777777777778,36.95252679938744,0.16081641110650644
1701,1222,1407,53777,5101,47024,5080,4263,2509,21665,7644,1583,0,4,1101,19,6,33,9,1101,0.10847652262674379,33.42146410803127,38.48117839607201,0.16255529091527732
1702,1494,1571,54931,4749,48133,4733,3957,2406,22233,7155,1364,0,4,1002,18,1,25,0,1002,0.09866411817256353,30.638446849140674,32.21753681392236,0.14865061392391915
1703,1443,1491,52096,4534,45560,4520,3782,2340,21063,6665,1329,0,8,968,7,3,28,5,968,0.0995171202809482,30.55667337357478,31.57311157311157,0.14629060579455663
1704,1371,1447,55553,4685,48373,4669,3867,2500,22634,6895,1266,0,8,1062,26,8,28,3,1062,0.0968515494180638,33.42985487214928,35.283005105762214,0.1425381927935005
1705,1320,1423,53797,4974,46611,4962,4225,2352,20985,8091,1745,0,5,882,14,2,30,4,882,0.10671300765913626,32.755446240337314,35.31136363636364,0.17358563429233442
1706,1211,1283,53238,4623,46676,4608,3825,2372,21965,7091,1384,1,14,988,12,2,42,5,988,0.09904447681892194,36.38035853468433,38.543352601156066,0.15191961607678464
1707,1319,1401,55720,4901,48860,4884,4109,2562,22989,7275,1421,1,14,1067,13,6,29,5,1067,0.10030699959066722,34.8750892219843,37.043214556482184,0.14889480147359804
1708,1352,1415,61354,5005,53225,4989,4210,2531,24904,8283,1574,5,12,1158,4,1,64,16,1158,0.09403475810239549,37.61484098939929,39.36760355029586,0.15562235791451384
1709,1216,1446,60596,5041,52633,5025,4178,2671,25049,7179,1426,0,10,1067,10,2,47,13,1067,0.09577641403682101,36.39903181189488,43.28371710526316,0.13639731727243365
1710,1203,1315,62198,5661,53894,5644,4771,2764,25287,9104,1959,4,14,1150,21,3,81,23,1150,0.10503952202471518,40.98403041825095,44.79966749792186,0.1689241845103351
1711,368,393,16054,2511,13978,2498,2137,1372,6654,1892,625,1,4,273,0,0,13,1,273,0.17963943339533553,35.56743002544529,37.983695652173914,0.13535555873515526
1712,161,170,6989,1519,6092,1509,1332,825,2933,925,374,0,0,144,8,3,3,1,144,0.24934340118187787,35.83529411764706,37.838509316770185,0.15183847669074196
1714,32,36,1354,533,1185,525,497,284,589,158,111,1,2,29,0,0,0,0,29,0.44978902953586497,32.916666666666664,37.03125,0.13333333333333333
